start,end,day_count
2022-04-12T00:00:00.000Z,2022-04-13T00:00:00.000Z,9540
2022-04-13T00:00:00.000Z,2022-04-14T00:00:00.000Z,8164
2022-04-14T00:00:00.000Z,2022-04-15T00:00:00.000Z,5552
2022-04-15T00:00:00.000Z,2022-04-16T00:00:00.000Z,5320
2022-04-16T00:00:00.000Z,2022-04-17T00:00:00.000Z,8376
2022-04-17T00:00:00.000Z,2022-04-18T00:00:00.000Z,7658
2022-04-18T00:00:00.000Z,2022-04-19T00:00:00.000Z,12272
2022-04-19T00:00:00.000Z,2022-04-20T00:00:00.000Z,6373
2022-04-20T00:00:00.000Z,2022-04-21T00:00:00.000Z,8129
2022-04-21T00:00:00.000Z,2022-04-22T00:00:00.000Z,7395
2022-04-22T00:00:00.000Z,2022-04-23T00:00:00.000Z,7844
2022-04-23T00:00:00.000Z,2022-04-24T00:00:00.000Z,7359
2022-04-24T00:00:00.000Z,2022-04-25T00:00:00.000Z,6239
2022-04-25T00:00:00.000Z,2022-04-26T00:00:00.000Z,5402
2022-04-26T00:00:00.000Z,2022-04-27T00:00:00.000Z,6077
2022-04-27T00:00:00.000Z,2022-04-28T00:00:00.000Z,5495
2022-04-28T00:00:00.000Z,2022-04-29T00:00:00.000Z,4383
2022-04-29T00:00:00.000Z,2022-04-30T00:00:00.000Z,6079
2022-04-30T00:00:00.000Z,2022-05-01T00:00:00.000Z,6635
2022-05-01T00:00:00.000Z,2022-05-02T00:00:00.000Z,5712
2022-05-02T00:00:00.000Z,2022-05-03T00:00:00.000Z,3883
2022-05-03T00:00:00.000Z,2022-05-04T00:00:00.000Z,3476
2022-05-04T00:00:00.000Z,2022-05-05T00:00:00.000Z,7770
2022-05-05T00:00:00.000Z,2022-05-06T00:00:00.000Z,7510
2022-05-06T00:00:00.000Z,2022-05-07T00:00:00.000Z,5636
2022-05-07T00:00:00.000Z,2022-05-08T00:00:00.000Z,3197
2022-05-08T00:00:00.000Z,2022-05-09T00:00:00.000Z,2607
2022-05-09T00:00:00.000Z,2022-05-10T00:00:00.000Z,3093
2022-05-10T00:00:00.000Z,2022-05-11T00:00:00.000Z,5581
2022-05-11T00:00:00.000Z,2022-05-12T00:00:00.000Z,12989
2022-05-12T00:00:00.000Z,2022-05-12T17:19:53.000Z,4280
2022-03-12T00:00:00.000Z,2022-03-13T00:00:00.000Z,21661
2022-03-13T00:00:00.000Z,2022-03-14T00:00:00.000Z,38342
2022-03-14T00:00:00.000Z,2022-03-15T00:00:00.000Z,36398
2022-03-15T00:00:00.000Z,2022-03-16T00:00:00.000Z,37619
2022-03-16T00:00:00.000Z,2022-03-17T00:00:00.000Z,34487
2022-03-17T00:00:00.000Z,2022-03-18T00:00:00.000Z,32965
2022-03-18T00:00:00.000Z,2022-03-19T00:00:00.000Z,23341
2022-03-19T00:00:00.000Z,2022-03-20T00:00:00.000Z,17168
2022-03-20T00:00:00.000Z,2022-03-21T00:00:00.000Z,19558
2022-03-21T00:00:00.000Z,2022-03-22T00:00:00.000Z,25794
2022-03-22T00:00:00.000Z,2022-03-23T00:00:00.000Z,24675
2022-03-23T00:00:00.000Z,2022-03-24T00:00:00.000Z,17464
2022-03-24T00:00:00.000Z,2022-03-25T00:00:00.000Z,18507
2022-03-25T00:00:00.000Z,2022-03-26T00:00:00.000Z,13758
2022-03-26T00:00:00.000Z,2022-03-27T00:00:00.000Z,19213
2022-03-27T00:00:00.000Z,2022-03-28T00:00:00.000Z,19455
2022-03-28T00:00:00.000Z,2022-03-29T00:00:00.000Z,13414
2022-03-29T00:00:00.000Z,2022-03-30T00:00:00.000Z,11492
2022-03-30T00:00:00.000Z,2022-03-31T00:00:00.000Z,12525
2022-03-31T00:00:00.000Z,2022-04-01T00:00:00.000Z,11905
2022-04-01T00:00:00.000Z,2022-04-02T00:00:00.000Z,6703
2022-04-02T00:00:00.000Z,2022-04-03T00:00:00.000Z,6258
2022-04-03T00:00:00.000Z,2022-04-04T00:00:00.000Z,13380
2022-04-04T00:00:00.000Z,2022-04-05T00:00:00.000Z,9730
2022-04-05T00:00:00.000Z,2022-04-06T00:00:00.000Z,11143
2022-04-06T00:00:00.000Z,2022-04-07T00:00:00.000Z,8793
2022-04-07T00:00:00.000Z,2022-04-08T00:00:00.000Z,8019
2022-04-08T00:00:00.000Z,2022-04-09T00:00:00.000Z,10096
2022-04-09T00:00:00.000Z,2022-04-10T00:00:00.000Z,9893
2022-04-10T00:00:00.000Z,2022-04-11T00:00:00.000Z,9410
2022-04-11T00:00:00.000Z,2022-04-12T00:00:00.000Z,13281
2022-02-09T00:00:00.000Z,2022-02-10T00:00:00.000Z,2452
2022-02-10T00:00:00.000Z,2022-02-11T00:00:00.000Z,1640
2022-02-11T00:00:00.000Z,2022-02-12T00:00:00.000Z,3763
2022-02-12T00:00:00.000Z,2022-02-13T00:00:00.000Z,3582
2022-02-13T00:00:00.000Z,2022-02-14T00:00:00.000Z,2480
2022-02-14T00:00:00.000Z,2022-02-15T00:00:00.000Z,2041
2022-02-15T00:00:00.000Z,2022-02-16T00:00:00.000Z,2465
2022-02-16T00:00:00.000Z,2022-02-17T00:00:00.000Z,1626
2022-02-17T00:00:00.000Z,2022-02-18T00:00:00.000Z,2122
2022-02-18T00:00:00.000Z,2022-02-19T00:00:00.000Z,3400
2022-02-19T00:00:00.000Z,2022-02-20T00:00:00.000Z,4621
2022-02-20T00:00:00.000Z,2022-02-21T00:00:00.000Z,3385
2022-02-21T00:00:00.000Z,2022-02-22T00:00:00.000Z,3228
2022-02-22T00:00:00.000Z,2022-02-23T00:00:00.000Z,6334
2022-02-23T00:00:00.000Z,2022-02-24T00:00:00.000Z,2839
2022-02-24T00:00:00.000Z,2022-02-25T00:00:00.000Z,23158
2022-02-25T00:00:00.000Z,2022-02-26T00:00:00.000Z,47352
2022-02-26T00:00:00.000Z,2022-02-27T00:00:00.000Z,46309
2022-02-27T00:00:00.000Z,2022-02-28T00:00:00.000Z,69558
2022-02-28T00:00:00.000Z,2022-03-01T00:00:00.000Z,79754
2022-03-01T00:00:00.000Z,2022-03-02T00:00:00.000Z,58729
2022-03-02T00:00:00.000Z,2022-03-03T00:00:00.000Z,60646
2022-03-03T00:00:00.000Z,2022-03-04T00:00:00.000Z,67551
2022-03-04T00:00:00.000Z,2022-03-05T00:00:00.000Z,69138
2022-03-05T00:00:00.000Z,2022-03-06T00:00:00.000Z,62004
2022-03-06T00:00:00.000Z,2022-03-07T00:00:00.000Z,43454
2022-03-07T00:00:00.000Z,2022-03-08T00:00:00.000Z,42626
2022-03-08T00:00:00.000Z,2022-03-09T00:00:00.000Z,34080
2022-03-09T00:00:00.000Z,2022-03-10T00:00:00.000Z,28536
2022-03-10T00:00:00.000Z,2022-03-11T00:00:00.000Z,36608
